City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,goma,-1.68,29.22,64.26,52,96,2.71,CD,1587774549
283,voh,-20.97,164.7,78.33,68,95,9.95,NC,1587774549
284,havre-saint-pierre,50.23,-63.6,32.0,96,1,23.04,CA,1587774549
285,kalmunai,7.42,81.82,81.77,77,68,4.92,LK,1587774549
286,wadi maliz,36.47,8.55,57.2,87,17,1.54,TN,1587774549
287,hofn,64.25,-15.21,42.15,83,100,17.94,IS,1587774550
288,antofagasta,-23.65,-70.4,62.6,82,20,8.05,CL,1587774285
289,mamallapuram,12.63,80.17,86.0,79,20,6.93,IN,1587774550
290,sobolevo,54.43,31.9,44.26,76,100,1.1,RU,1587774551
291,prince george,53.92,-122.75,60.01,35,20,9.17,CA,1587774551
292,sartana,47.17,37.7,46.99,81,13,14.0,UA,1587774551
293,lugovoy,42.95,72.76,56.5,68,98,8.86,KZ,1587774551
294,ararat,39.83,44.7,42.8,93,75,2.24,AM,1587774551
295,uromi,6.7,6.33,74.66,87,85,5.08,NG,1587774552
296,kuala lumpur,3.14,101.69,80.01,100,20,1.79,MY,1587774544
297,bahia honda,22.9,-83.16,83.77,69,68,12.55,CU,1587774552
298,umm kaddadah,13.6,26.69,79.63,11,37,13.29,SD,1587774552
299,kahului,20.89,-156.47,82.4,54,1,19.46,US,1587774440
300,raga,8.46,25.68,78.93,19,23,2.75,SS,1587774553
301,besikduzu,41.05,39.23,50.0,76,75,4.7,TR,1587774553
302,sao filipe,14.9,-24.5,71.1,76,74,16.93,CV,1587774553
303,supe,-10.8,-77.73,72.27,68,21,7.09,PE,1587774553
304,nang rong,14.64,102.79,73.4,71,94,9.48,TH,1587774554
305,sawakin,19.11,37.33,80.91,64,1,1.72,SD,1587774554
306,tecoanapa,16.52,-98.75,83.41,60,10,9.84,MX,1587774554
307,iquitos,-3.75,-73.25,77.0,88,75,2.24,PE,1587774517
308,kirakira,-10.45,161.92,85.23,70,83,7.09,SB,1587774554
309,manokwari,-0.87,134.08,84.65,66,46,1.34,ID,1587774554
310,kavieng,-2.57,150.8,83.93,74,32,6.38,PG,1587774555
311,codrington,-38.27,141.97,60.31,74,97,16.02,AU,1587774555
312,santa cruz,-17.8,-63.17,80.6,78,41,8.05,BO,1587774267
313,nikolskoye,59.7,30.79,34.0,59,26,8.95,RU,1587774556
314,requena,39.49,-1.1,48.0,80,57,3.87,ES,1587774557
315,moose factory,51.26,-80.61,21.2,62,1,11.41,CA,1587774557
316,chumikan,54.72,135.31,33.12,94,100,1.54,RU,1587774557
317,howard springs,-12.5,131.05,87.01,62,20,9.17,AU,1587774557
318,kruisfontein,-34.0,24.73,58.57,83,96,7.47,ZA,1587774557
319,carutapera,-1.2,-46.02,79.47,80,94,3.87,BR,1587774558
320,yamada,39.47,141.95,51.3,53,43,7.87,JP,1587774558
321,san benito,16.91,-89.91,93.56,33,57,3.78,GT,1587774558
322,faanui,-16.48,-151.75,81.36,77,31,12.46,PF,1587774558
323,lyuban,52.8,28.0,47.44,82,99,6.93,BY,1587774558
324,tual,-5.67,132.75,84.04,77,74,17.67,ID,1587774559
325,kavaratti,10.57,72.64,85.03,65,100,5.64,IN,1587774559
326,hasaki,35.73,140.83,57.99,58,20,5.82,JP,1587774559
327,quelimane,-17.88,36.89,70.92,92,4,1.81,MZ,1587774559
328,pangai,-19.8,-174.35,84.2,74,75,2.24,TO,1587774559
329,sokoni,-6.43,39.55,82.4,77,66,11.32,TZ,1587774560
330,shimoda,34.67,138.95,55.4,66,20,4.7,JP,1587774560
331,kidal,18.44,1.41,89.49,11,35,4.72,ML,1587774560
332,neyshabur,36.21,58.8,57.06,49,28,9.17,IR,1587774560
333,teguise,29.06,-13.56,64.4,68,20,8.05,ES,1587774560
334,isparta,38.0,31.0,32.0,36,0,4.7,TR,1587774560
335,flin flon,54.77,-101.86,48.2,39,75,4.7,CA,1587774560
336,ornskoldsvik,63.29,18.72,32.0,88,86,8.05,SE,1587774561
337,banyo,6.75,11.82,67.84,65,100,1.05,CM,1587774561
338,bud,39.45,-86.18,64.99,55,40,5.82,US,1587774561
339,santiago del estero,-27.8,-64.26,83.8,44,21,9.28,AR,1587774561
340,heilbron,-27.28,27.97,58.77,35,94,2.51,ZA,1587774561
341,katsuura,35.13,140.3,57.99,62,20,6.93,JP,1587774561
342,ranong,9.97,98.63,78.8,94,40,2.24,TH,1587774562
343,eyemouth,55.87,-2.09,42.01,79,32,1.01,GB,1587774562
344,talara,-4.58,-81.27,73.33,73,22,10.63,PE,1587774562
345,tuatapere,-46.13,167.68,51.01,89,59,14.0,NZ,1587774562
346,haines junction,60.75,-137.51,37.51,61,100,6.17,CA,1587774563
347,prince rupert,54.32,-130.32,51.8,69,90,10.29,CA,1587774563
348,yulara,-25.24,130.99,82.4,24,0,5.82,AU,1587774564
349,makasar,-5.14,119.42,78.8,94,20,1.12,ID,1587774564
350,muzaffarabad,34.37,73.47,63.28,33,15,8.3,PK,1587774564
351,luanda,-8.84,13.23,78.8,94,75,5.82,AO,1587774565
352,panacan,9.25,118.41,87.8,66,40,11.41,PH,1587774565
353,genova,44.5,9.07,57.0,63,59,3.67,IT,1587774566
354,saint-pierre,-21.34,55.48,73.4,83,75,5.82,RE,1587774567
355,tarime,-1.35,34.37,61.52,65,99,3.62,TZ,1587774567
356,rio grande,-32.03,-52.1,69.01,79,47,3.0,BR,1587774568
357,moerai,-22.43,-151.33,78.48,77,0,12.57,PF,1587774568
358,solnechnyy,50.72,136.63,32.99,78,98,6.91,RU,1587774569
359,ixtapa,20.7,-105.2,77.0,69,40,11.41,MX,1587774569
360,ancud,-41.87,-73.82,55.99,100,90,8.05,CL,1587774569
361,cabo san lucas,22.89,-109.91,88.0,22,5,13.87,MX,1587774502
362,kropotkin,45.44,40.58,43.52,61,0,3.2,RU,1587774570
363,maralal,1.1,36.7,58.41,62,100,1.36,KE,1587774570
364,bathsheba,13.22,-59.52,80.6,69,40,18.34,BB,1587774571
365,saint george,37.1,-113.58,79.0,14,1,5.82,US,1587774572
366,punta alta,-38.88,-62.07,64.85,52,100,7.81,AR,1587774572
367,zhezkazgan,47.8,67.71,44.49,59,100,6.64,KZ,1587774573
368,tondano,1.3,124.91,84.2,74,20,1.95,ID,1587774573
369,bantry,51.68,-9.45,48.2,87,40,6.93,IE,1587774574
370,paamiut,61.99,-49.67,34.88,88,90,3.24,GL,1587774574
371,vagur,61.47,-6.81,44.83,86,8,14.09,FO,1587774575
372,buta,2.79,24.73,71.58,74,3,1.77,CD,1587774575
373,gazanjyk,39.24,55.52,54.16,69,87,10.33,TM,1587774576
374,richards bay,-28.78,32.04,70.0,85,43,10.29,ZA,1587774576
375,hamilton,39.18,-84.53,64.4,59,20,3.36,US,1587774576
376,vardo,70.37,31.11,28.4,92,75,29.97,NO,1587774577
377,huilong,31.81,121.66,66.0,56,35,4.0,CN,1587774579
378,novo aripuana,-5.12,-60.38,75.87,92,94,1.25,BR,1587774579
379,college,64.86,-147.8,37.99,37,1,12.75,US,1587774580
380,dubbo,-32.25,148.62,64.4,72,0,5.82,AU,1587774580
381,atar,20.52,-13.05,70.88,21,13,6.85,MR,1587774580
382,cayenne,4.93,-52.33,75.2,94,87,8.5,GF,1587774581
